Prompt	Ans	Candidate Ans	Subject
آئل آف مین کی سرکاری زبان <mask> ہے۔	انگریزی	کروشیائی زبان, کوریائی زبان, فنش زبان, چینی زبان, فرانسیسی, تھائی زبان, جاپانی, سربیائی, باسک, انگریزی	آئل آف مین
مسیسپی کی سرکاری زبان <mask> ہے۔	انگریزی	یونانی زبان, جاپانی, ڈینش زبان, چینی زبان, رومانیانی زبان, ولندیزی زبان, کروشیائی زبان, اردو, آرمینیائی زبان, انگریزی	مسیسپی
مکاؤ کی سرکاری زبان <mask> ہے۔	چینی زبان	سونسکا, البانوی زبان, چیکی زبان, انڈونیشیائی زبان, فرانسیسی, جرمن, تھائی زبان, کروشیائی زبان, رومانیانی زبان, چینی زبان	مکاؤ
اسرائیل کی سرکاری زبان <mask> ہے۔	عبرانی	آئس لینڈی زبان, رومانیانی زبان, انگریزی, قیطلونی, سلوواک زبان, یونانی زبان, ہنگری زبان, پولش زبان, بلغاری زبان, عبرانی	اسرائیل
سامووا کی سرکاری زبان <mask> ہے۔	انگریزی	عبرانی, سلوواک زبان, آرمینیائی زبان, ہسپانوی, ہنگری زبان, کوریائی زبان, اردو, چینی زبان, جاپانی, انگریزی	سامووا
سویٹزرلینڈ کی سرکاری زبان <mask> ہے۔	فرانسیسی	کروشیائی زبان, عبرانی, لاطینی زبان, جرمن, ہنگری زبان, آذربائیجانی, ہسپانوی, یوکرینی زبان, ولندیزی زبان, فرانسیسی	سویٹزرلینڈ
بلجئیم کی سرکاری زبان <mask> ہے۔	جرمن	فنش زبان, اطالوی, آذربائیجانی, آئس لینڈی زبان, یونانی زبان, چینی زبان, آرمینیائی زبان, جارجیائی زبان, البانوی زبان, جرمن	بلجئیم
ناورو کی سرکاری زبان <mask> ہے۔	انگریزی	آذربائیجانی, ہنگری زبان, یوکرینی زبان, البانوی زبان, عبرانی, کروشیائی زبان, ڈینش زبان, فرانسیسی, اطالوی, انگریزی	ناورو
جزائر فاکلینڈ کی سرکاری زبان <mask> ہے۔	انگریزی	انڈونیشیائی زبان, یونانی زبان, عبرانی, لاطینی زبان, سلوواک زبان, چینی زبان, آرمینیائی زبان, جارجیائی زبان, آئس لینڈی زبان, انگریزی	جزائر فاکلینڈ
جمہوریہ گنی کی سرکاری زبان <mask> ہے۔	فرانسیسی	چیکی زبان, جاپانی, رومانیانی زبان, استونیائی زبان, ترک, آئس لینڈی زبان, انڈونیشیائی زبان, فنش زبان, ہسپانوی, فرانسیسی	جمہوریہ گنی
آسٹریلیا کی سرکاری زبان <mask> ہے۔	انگریزی	سونسکا, آئس لینڈی زبان, سلوواک زبان, لاطینی زبان, کوریائی زبان, کروشیائی زبان, ترک, فرانسیسی, آذربائیجانی, انگریزی	آسٹریلیا
پیرو کی سرکاری زبان <mask> ہے۔	ہسپانوی	پولش زبان, ہنگری زبان, آئس لینڈی زبان, ولندیزی زبان, آرمینیائی زبان, سونسکا, بلغاری زبان, عبرانی, چیکی زبان, ہسپانوی	پیرو
لیسوتھو کی سرکاری زبان <mask> ہے۔	انگریزی	استونیائی زبان, لیتھوانیائی زبان, سربیائی, پرتگالی, فنش زبان, روسی, فرانسیسی, تھائی زبان, ہنگری زبان, انگریزی	لیسوتھو
بھارت کی سرکاری زبان <mask> ہے۔	انگریزی	بلغاری زبان, لیتھوانیائی زبان, تھائی زبان, البانوی زبان, ولندیزی زبان, چینی زبان, پولش زبان, استونیائی زبان, ہسپانوی, انگریزی	بھارت
زمبابوے کی سرکاری زبان <mask> ہے۔	انگریزی	عبرانی, لیتھوانیائی زبان, البانوی زبان, بلغاری زبان, پولش زبان, جارجیائی زبان, ترک, ڈینش زبان, فرانسیسی, انگریزی	زمبابوے
جبوتی کی سرکاری زبان <mask> ہے۔	فرانسیسی	سلووین زبان, ولندیزی زبان, انگریزی, آئس لینڈی زبان, عبرانی, اطالوی, یوکرینی زبان, سلوواک زبان, فنش زبان, فرانسیسی	جبوتی
مونٹانا کی سرکاری زبان <mask> ہے۔	انگریزی	سلوواک زبان, آذربائیجانی, چیکی زبان, البانوی زبان, بلغاری زبان, روسی, جاپانی, ولندیزی زبان, سلووین زبان, انگریزی	مونٹانا
بہاماس کی سرکاری زبان <mask> ہے۔	انگریزی	سربیائی, باسک, فارسی, انڈونیشیائی زبان, بلغاری زبان, جارجیائی زبان, ہسپانوی, ہنگری زبان, یوکرینی زبان, انگریزی	بہاماس
انٹاریو کی سرکاری زبان <mask> ہے۔	انگریزی	جرمن, ہنگری زبان, کوریائی زبان, چیکی زبان, اردو, سربیائی, اطالوی, روسی, پولش زبان, انگریزی	انٹاریو
البرٹا کی سرکاری زبان <mask> ہے۔	انگریزی	یونانی زبان, چیکی زبان, ڈینش زبان, لاطینی زبان, یوکرینی زبان, جرمن, سلووین زبان, سونسکا, قیطلونی, انگریزی	البرٹا
مونٹینیگرو کی سرکاری زبان <mask> ہے۔	سربیائی	استونیائی زبان, لاطینی زبان, اطالوی, اردو, قیطلونی, آذربائیجانی, فرانسیسی, جارجیائی زبان, ہسپانوی, سربیائی	مونٹینیگرو
اسواتینی کی سرکاری زبان <mask> ہے۔	انگریزی	عبرانی, فارسی, بلغاری زبان, باسک, البانوی زبان, سونسکا, فرانسیسی, کوریائی زبان, سلوواک زبان, انگریزی	اسواتینی
یورپی اتحاد کی سرکاری زبان <mask> ہے۔	ولندیزی زبان	یونانی زبان, لیتھوانیائی زبان, آئس لینڈی زبان, لاطینی زبان, یوکرینی زبان, پولش زبان, کروشیائی زبان, انگریزی, استونیائی زبان, ولندیزی زبان	یورپی اتحاد
گریناڈا کی سرکاری زبان <mask> ہے۔	انگریزی	ہنگری زبان, لیتھوانیائی زبان, سربیائی, لاطینی زبان, پرتگالی, عبرانی, آرمینیائی زبان, بلغاری زبان, یونانی زبان, انگریزی	گریناڈا
شیشان کی سرکاری زبان <mask> ہے۔	روسی	فنش زبان, پرتگالی, سلوواک زبان, باسک, ہنگری زبان, لاطینی زبان, آذربائیجانی, تھائی زبان, رومانیانی زبان, روسی	شیشان
روانڈا کی سرکاری زبان <mask> ہے۔	انگریزی	انڈونیشیائی زبان, پولش زبان, پرتگالی, اردو, تھائی زبان, عبرانی, یونانی زبان, سونسکا, فرانسیسی, انگریزی	روانڈا
فن لینڈ کی سرکاری زبان <mask> ہے۔	فنش زبان	سونسکا, استونیائی زبان, کوریائی زبان, جاپانی, آئس لینڈی زبان, چینی زبان, عبرانی, آذربائیجانی, ڈینش زبان, فنش زبان	فن لینڈ
نیبراسکا کی سرکاری زبان <mask> ہے۔	انگریزی	چیکی زبان, بلغاری زبان, لیتھوانیائی زبان, روسی, فنش زبان, چینی زبان, قیطلونی, کوریائی زبان, آرمینیائی زبان, انگریزی	نیبراسکا
پولینڈ کی سرکاری زبان <mask> ہے۔	پولش زبان	سلووین زبان, سونسکا, تھائی زبان, کروشیائی زبان, چیکی زبان, انگریزی, چینی زبان, آرمینیائی زبان, اطالوی, پولش زبان	پولینڈ
بازیل کی سرکاری زبان <mask> ہے۔	جرمن	فنش زبان, رومانیانی زبان, سربیائی, ڈینش زبان, چینی زبان, اردو, استونیائی زبان, فارسی, جاپانی, جرمن	بازیل
آرکنساس کی سرکاری زبان <mask> ہے۔	انگریزی	اطالوی, باسک, آئس لینڈی زبان, چیکی زبان, چینی زبان, ہنگری زبان, سلوواک زبان, سربیائی, ڈینش زبان, انگریزی	آرکنساس
رومانیہ کی سرکاری زبان <mask> ہے۔	رومانیانی زبان	روسی, البانوی زبان, ولندیزی زبان, لاطینی زبان, چینی زبان, انگریزی, اردو, یوکرینی زبان, ڈینش زبان, رومانیانی زبان	رومانیہ
یورپی اتحاد کی سرکاری زبان <mask> ہے۔	یونانی زبان	آئس لینڈی زبان, یوکرینی زبان, باسک, چینی زبان, پرتگالی, فنش زبان, ڈینش زبان, آذربائیجانی, سونسکا, یونانی زبان	یورپی اتحاد
کینیا کی سرکاری زبان <mask> ہے۔	انگریزی	لیتھوانیائی زبان, جرمن, باسک, انڈونیشیائی زبان, عبرانی, کروشیائی زبان, یوکرینی زبان, ہسپانوی, فنش زبان, انگریزی	کینیا
گھانا کی سرکاری زبان <mask> ہے۔	انگریزی	رومانیانی زبان, جارجیائی زبان, اطالوی, استونیائی زبان, ڈینش زبان, بلغاری زبان, چیکی زبان, انڈونیشیائی زبان, ہنگری زبان, انگریزی	گھانا
سلووینیا کی سرکاری زبان <mask> ہے۔	سلووین زبان	سربیائی, آرمینیائی زبان, فارسی, آئس لینڈی زبان, ترک, پولش زبان, استونیائی زبان, اردو, یوکرینی زبان, سلووین زبان	سلووینیا
مالدووا کی سرکاری زبان <mask> ہے۔	رومانیانی زبان	باسک, فرانسیسی, سونسکا, پرتگالی, کوریائی زبان, جرمن, سربیائی, جاپانی, ڈینش زبان, رومانیانی زبان	مالدووا
فرانسیسی گیانا کی سرکاری زبان <mask> ہے۔	فرانسیسی	ہسپانوی, جارجیائی زبان, سربیائی, انڈونیشیائی زبان, اردو, اطالوی, آئس لینڈی زبان, باسک, یونانی زبان, فرانسیسی	فرانسیسی گیانا
لتھووینیا کی سرکاری زبان <mask> ہے۔	لیتھوانیائی زبان	روسی, سلووین زبان, قیطلونی, سلوواک زبان, رومانیانی زبان, پرتگالی, باسک, یوکرینی زبان, جرمن, لیتھوانیائی زبان	لتھووینیا
بیلیز کی سرکاری زبان <mask> ہے۔	انگریزی	ولندیزی زبان, ترک, رومانیانی زبان, اطالوی, باسک, سربیائی, کروشیائی زبان, روسی, بلغاری زبان, انگریزی	بیلیز
ہسپانیہ کی سرکاری زبان <mask> ہے۔	قیطلونی	چیکی زبان, فرانسیسی, ولندیزی زبان, انڈونیشیائی زبان, باسک, یوکرینی زبان, رومانیانی زبان, اطالوی, ہنگری زبان, قیطلونی	ہسپانیہ
بارباڈوس کی سرکاری زبان <mask> ہے۔	انگریزی	پرتگالی, اطالوی, جاپانی, جارجیائی زبان, قیطلونی, باسک, سلووین زبان, رومانیانی زبان, ترک, انگریزی	بارباڈوس
کولمبیا کی سرکاری زبان <mask> ہے۔	ہسپانوی	جارجیائی زبان, پرتگالی, ولندیزی زبان, رومانیانی زبان, لاطینی زبان, ہنگری زبان, فنش زبان, یوکرینی زبان, کروشیائی زبان, ہسپانوی	کولمبیا
برونائی دار السلام کی سرکاری زبان <mask> ہے۔	انگریزی	سلووین زبان, ہنگری زبان, ترک, چینی زبان, جارجیائی زبان, سلوواک زبان, چیکی زبان, استونیائی زبان, لاطینی زبان, انگریزی	برونائی دار السلام
پاکستان کی سرکاری زبان <mask> ہے۔	اردو	ہنگری زبان, فارسی, جرمن, فرانسیسی, پرتگالی, کروشیائی زبان, سلووین زبان, جاپانی, تھائی زبان, اردو	پاکستان
سینیگال کی سرکاری زبان <mask> ہے۔	فرانسیسی	رومانیانی زبان, بلغاری زبان, سلووین زبان, ترک, استونیائی زبان, یوکرینی زبان, باسک, پرتگالی, ہسپانوی, فرانسیسی	سینیگال
نناوت کی سرکاری زبان <mask> ہے۔	انگریزی	جارجیائی زبان, چینی زبان, سربیائی, لیتھوانیائی زبان, اطالوی, کروشیائی زبان, انڈونیشیائی زبان, قیطلونی, کوریائی زبان, انگریزی	نناوت
جنیوا کی سرکاری زبان <mask> ہے۔	فرانسیسی	کوریائی زبان, آذربائیجانی, ترک, جاپانی, ولندیزی زبان, یوکرینی زبان, استونیائی زبان, پرتگالی, قیطلونی, فرانسیسی	جنیوا
یورپی اتحاد کی سرکاری زبان <mask> ہے۔	بلغاری زبان	سربیائی, جارجیائی زبان, استونیائی زبان, اردو, انڈونیشیائی زبان, آئس لینڈی زبان, جاپانی, آرمینیائی زبان, فنش زبان, بلغاری زبان	یورپی اتحاد
بوسنیا و ہرزیگووینا کی سرکاری زبان <mask> ہے۔	سربیائی	کوریائی زبان, ہسپانوی, رومانیانی زبان, سونسکا, قیطلونی, باسک, ہنگری زبان, یونانی زبان, البانوی زبان, سربیائی	بوسنیا و ہرزیگووینا
فن لینڈ کی سرکاری زبان <mask> ہے۔	سونسکا	فنش زبان, ولندیزی زبان, روسی, البانوی زبان, جرمن, تھائی زبان, ہسپانوی, فرانسیسی, ڈینش زبان, سونسکا	فن لینڈ
پاپوا نیو گنی کی سرکاری زبان <mask> ہے۔	انگریزی	پرتگالی, اردو, فارسی, انڈونیشیائی زبان, چیکی زبان, پولش زبان, فنش زبان, ڈینش زبان, عبرانی, انگریزی	پاپوا نیو گنی
روانڈا کی سرکاری زبان <mask> ہے۔	فرانسیسی	رومانیانی زبان, کوریائی زبان, آذربائیجانی, باسک, لاطینی زبان, سلووین زبان, اردو, روسی, تھائی زبان, فرانسیسی	روانڈا
چاڈ کی سرکاری زبان <mask> ہے۔	فرانسیسی	سلووین زبان, فنش زبان, جرمن, باسک, انگریزی, سلوواک زبان, استونیائی زبان, آذربائیجانی, روسی, فرانسیسی	چاڈ
یریوان کی سرکاری زبان <mask> ہے۔	آرمینیائی زبان	عبرانی, انگریزی, ڈینش زبان, ولندیزی زبان, فنش زبان, لیتھوانیائی زبان, البانوی زبان, کوریائی زبان, سربیائی, آرمینیائی زبان	یریوان
بولیویا کی سرکاری زبان <mask> ہے۔	ہسپانوی	روسی, سربیائی, کروشیائی زبان, جرمن, سلووین زبان, باسک, آرمینیائی زبان, فنش زبان, آئس لینڈی زبان, ہسپانوی	بولیویا
ملائیشیا کی سرکاری زبان <mask> ہے۔	انگریزی	آرمینیائی زبان, چینی زبان, ہنگری زبان, جارجیائی زبان, پرتگالی, رومانیانی زبان, یوکرینی زبان, اردو, سونسکا, انگریزی	ملائیشیا
جنوبی سوڈان کی سرکاری زبان <mask> ہے۔	انگریزی	ہنگری زبان, جارجیائی زبان, ولندیزی زبان, روسی, یونانی زبان, جرمن, ترک, انڈونیشیائی زبان, قیطلونی, انگریزی	جنوبی سوڈان
استوائی گنی کی سرکاری زبان <mask> ہے۔	فرانسیسی	استونیائی زبان, فنش زبان, لیتھوانیائی زبان, اردو, انڈونیشیائی زبان, فارسی, آذربائیجانی, کوریائی زبان, سلوواک زبان, فرانسیسی	استوائی گنی
یورپی اتحاد کی سرکاری زبان <mask> ہے۔	ہنگری زبان	استونیائی زبان, آرمینیائی زبان, ہسپانوی, سلووین زبان, یونانی زبان, انگریزی, باسک, قیطلونی, کروشیائی زبان, ہنگری زبان	یورپی اتحاد
کرغیزستان کی سرکاری زبان <mask> ہے۔	روسی	استونیائی زبان, بلغاری زبان, چیکی زبان, ولندیزی زبان, سربیائی, کوریائی زبان, لیتھوانیائی زبان, آرمینیائی زبان, یوکرینی زبان, روسی	کرغیزستان
جاپان کی سرکاری زبان <mask> ہے۔	جاپانی	رومانیانی زبان, لیتھوانیائی زبان, سونسکا, فنش زبان, سلووین زبان, لاطینی زبان, فرانسیسی, انڈونیشیائی زبان, جارجیائی زبان, جاپانی	جاپان
ایران کی سرکاری زبان <mask> ہے۔	فارسی	ترک, ڈینش زبان, قیطلونی, ولندیزی زبان, البانوی زبان, جاپانی, چینی زبان, انڈونیشیائی زبان, عبرانی, فارسی	ایران
ٹیمپیر کی سرکاری زبان <mask> ہے۔	فنش زبان	سلوواک زبان, بلغاری زبان, جرمن, سونسکا, آرمینیائی زبان, سلووین زبان, تھائی زبان, انڈونیشیائی زبان, کروشیائی زبان, فنش زبان	ٹیمپیر
پاناما کی سرکاری زبان <mask> ہے۔	ہسپانوی	سونسکا, باسک, فنش زبان, تھائی زبان, ہنگری زبان, سلووین زبان, یوکرینی زبان, روسی, جارجیائی زبان, ہسپانوی	پاناما
کیوبیک کی سرکاری زبان <mask> ہے۔	فرانسیسی	کروشیائی زبان, ہنگری زبان, ہسپانوی, روسی, پولش زبان, یوکرینی زبان, سلووین زبان, چیکی زبان, لیتھوانیائی زبان, فرانسیسی	کیوبیک
رومی سلطنت کی سرکاری زبان <mask> ہے۔	لاطینی زبان	لیتھوانیائی زبان, بلغاری زبان, کوریائی زبان, سونسکا, آذربائیجانی, یوکرینی زبان, چیکی زبان, اردو, آئس لینڈی زبان, لاطینی زبان	رومی سلطنت
استوائی گنی کی سرکاری زبان <mask> ہے۔	ہسپانوی	باسک, یوکرینی زبان, اردو, عبرانی, فارسی, بلغاری زبان, سلووین زبان, پرتگالی, لیتھوانیائی زبان, ہسپانوی	استوائی گنی
نیو فاؤنڈ لینڈ اور لیبراڈور کی سرکاری زبان <mask> ہے۔	انگریزی	لیتھوانیائی زبان, بلغاری زبان, آئس لینڈی زبان, قیطلونی, آرمینیائی زبان, ہسپانوی, چینی زبان, ولندیزی زبان, سونسکا, انگریزی	نیو فاؤنڈ لینڈ اور لیبراڈور
یورپی اتحاد کی سرکاری زبان <mask> ہے۔	استونیائی زبان	لیتھوانیائی زبان, رومانیانی زبان, فارسی, یونانی زبان, انڈونیشیائی زبان, تھائی زبان, بلغاری زبان, جرمن, چیکی زبان, استونیائی زبان	یورپی اتحاد
اقوام متحدہ کی سرکاری زبان <mask> ہے۔	ہسپانوی	پولش زبان, جاپانی, استونیائی زبان, جرمن, سربیائی, ہنگری زبان, کروشیائی زبان, اردو, آئس لینڈی زبان, ہسپانوی	اقوام متحدہ
سخا جمہوریہ کی سرکاری زبان <mask> ہے۔	روسی	تھائی زبان, چیکی زبان, انگریزی, فرانسیسی, یونانی زبان, پرتگالی, آرمینیائی زبان, فنش زبان, قیطلونی, روسی	سخا جمہوریہ
یورپی اتحاد کی سرکاری زبان <mask> ہے۔	پولش زبان	چینی زبان, لیتھوانیائی زبان, سلوواک زبان, فارسی, روسی, چیکی زبان, استونیائی زبان, آذربائیجانی, جاپانی, پولش زبان	یورپی اتحاد
جمہوریہ ڈومینیکن کی سرکاری زبان <mask> ہے۔	ہسپانوی	کروشیائی زبان, چینی زبان, ولندیزی زبان, یونانی زبان, اطالوی, جارجیائی زبان, سلووین زبان, جرمن, البانوی زبان, ہسپانوی	جمہوریہ ڈومینیکن
برٹش کولمبیا کی سرکاری زبان <mask> ہے۔	انگریزی	فرانسیسی, ولندیزی زبان, کوریائی زبان, بلغاری زبان, قیطلونی, کروشیائی زبان, اطالوی, یونانی زبان, روسی, انگریزی	برٹش کولمبیا
بلجئیم کی سرکاری زبان <mask> ہے۔	ولندیزی زبان	باسک, رومانیانی زبان, یونانی زبان, فرانسیسی, لیتھوانیائی زبان, پولش زبان, سونسکا, البانوی زبان, پرتگالی, ولندیزی زبان	بلجئیم
بازنطینی سلطنت کی سرکاری زبان <mask> ہے۔	لاطینی زبان	ہسپانوی, عبرانی, رومانیانی زبان, جاپانی, استونیائی زبان, تھائی زبان, ڈینش زبان, ترک, انڈونیشیائی زبان, لاطینی زبان	بازنطینی سلطنت
جمہوریہ آئرلینڈ کی سرکاری زبان <mask> ہے۔	انگریزی	سربیائی, جرمن, اطالوی, ہنگری زبان, روسی, آذربائیجانی, جارجیائی زبان, آئس لینڈی زبان, ہسپانوی, انگریزی	جمہوریہ آئرلینڈ
نیدرلینڈز کی سرکاری زبان <mask> ہے۔	ولندیزی زبان	جارجیائی زبان, چیکی زبان, ترک, استونیائی زبان, یوکرینی زبان, ہنگری زبان, باسک, انڈونیشیائی زبان, پرتگالی, ولندیزی زبان	نیدرلینڈز
کنساس کی سرکاری زبان <mask> ہے۔	انگریزی	پولش زبان, سلوواک زبان, ترک, سربیائی, قیطلونی, آرمینیائی زبان, استونیائی زبان, یوکرینی زبان, تھائی زبان, انگریزی	کنساس
جنوبی افریقا کی سرکاری زبان <mask> ہے۔	انگریزی	یوکرینی زبان, لاطینی زبان, جارجیائی زبان, تھائی زبان, چینی زبان, جرمن, روسی, اطالوی, استونیائی زبان, انگریزی	جنوبی افریقا
وانواتو کی سرکاری زبان <mask> ہے۔	انگریزی	لاطینی زبان, ولندیزی زبان, انڈونیشیائی زبان, کوریائی زبان, بلغاری زبان, جارجیائی زبان, جرمن, قیطلونی, سربیائی, انگریزی	وانواتو
مونٹینیگرو کی سرکاری زبان <mask> ہے۔	کروشیائی زبان	قیطلونی, جارجیائی زبان, یوکرینی زبان, چیکی زبان, ہنگری زبان, ڈینش زبان, جرمن, ہسپانوی, یونانی زبان, کروشیائی زبان	مونٹینیگرو
سرینام کی سرکاری زبان <mask> ہے۔	ولندیزی زبان	ہنگری زبان, پرتگالی, انڈونیشیائی زبان, سربیائی, کروشیائی زبان, آرمینیائی زبان, سلووین زبان, چینی زبان, چیکی زبان, ولندیزی زبان	سرینام
کولوراڈو کی سرکاری زبان <mask> ہے۔	انگریزی	قیطلونی, یوکرینی زبان, آئس لینڈی زبان, آذربائیجانی, پرتگالی, ہنگری زبان, کروشیائی زبان, فرانسیسی, چیکی زبان, انگریزی	کولوراڈو
ٹونگا کی سرکاری زبان <mask> ہے۔	انگریزی	سلوواک زبان, ہنگری زبان, قیطلونی, جارجیائی زبان, فرانسیسی, یونانی زبان, آرمینیائی زبان, سونسکا, پرتگالی, انگریزی	ٹونگا
انگلستان کی سرکاری زبان <mask> ہے۔	انگریزی	سلووین زبان, ڈینش زبان, استونیائی زبان, چینی زبان, البانوی زبان, سونسکا, فنش زبان, چیکی زبان, بلغاری زبان, انگریزی	انگلستان
استوائی گنی کی سرکاری زبان <mask> ہے۔	پرتگالی	استونیائی زبان, البانوی زبان, جارجیائی زبان, سلووین زبان, ہنگری زبان, بلغاری زبان, سلوواک زبان, جرمن, جاپانی, پرتگالی	استوائی گنی
گنی بساؤ کی سرکاری زبان <mask> ہے۔	پرتگالی	سلوواک زبان, اطالوی, لاطینی زبان, ولندیزی زبان, پولش زبان, کروشیائی زبان, سونسکا, انڈونیشیائی زبان, استونیائی زبان, پرتگالی	گنی بساؤ
بوسنیا و ہرزیگووینا کی سرکاری زبان <mask> ہے۔	کروشیائی زبان	روسی, استونیائی زبان, جاپانی, فرانسیسی, اردو, پرتگالی, فارسی, رومانیانی زبان, قیطلونی, کروشیائی زبان	بوسنیا و ہرزیگووینا
انڈیانا کی سرکاری زبان <mask> ہے۔	انگریزی	کروشیائی زبان, ہنگری زبان, پولش زبان, ہسپانوی, البانوی زبان, چینی زبان, اردو, آئس لینڈی زبان, تھائی زبان, انگریزی	انڈیانا
شمالی کوریا کی سرکاری زبان <mask> ہے۔	کوریائی زبان	فارسی, فنش زبان, آذربائیجانی, سلوواک زبان, ترک, انڈونیشیائی زبان, باسک, ہسپانوی, تھائی زبان, کوریائی زبان	شمالی کوریا
روس کی سرکاری زبان <mask> ہے۔	یوکرینی زبان	ہنگری زبان, آرمینیائی زبان, انڈونیشیائی زبان, بلغاری زبان, جارجیائی زبان, ولندیزی زبان, یونانی زبان, رومانیانی زبان, لاطینی زبان, یوکرینی زبان	روس
ارجنٹائن کی سرکاری زبان <mask> ہے۔	ہسپانوی	سلوواک زبان, انڈونیشیائی زبان, چینی زبان, فارسی, البانوی زبان, سونسکا, آئس لینڈی زبان, ہنگری زبان, یوکرینی زبان, ہسپانوی	ارجنٹائن
نووا سکوشیا کی سرکاری زبان <mask> ہے۔	انگریزی	تھائی زبان, کروشیائی زبان, اطالوی, آذربائیجانی, عبرانی, سلوواک زبان, چیکی زبان, روسی, جرمن, انگریزی	نووا سکوشیا
ہوائی کی سرکاری زبان <mask> ہے۔	انگریزی	یوکرینی زبان, ترک, بلغاری زبان, آئس لینڈی زبان, انڈونیشیائی زبان, سلوواک زبان, ہسپانوی, ڈینش زبان, سلووین زبان, انگریزی	ہوائی
پلاؤ کی سرکاری زبان <mask> ہے۔	انگریزی	ڈینش زبان, پولش زبان, سونسکا, سلوواک زبان, آذربائیجانی, آرمینیائی زبان, ترک, اطالوی, تھائی زبان, انگریزی	پلاؤ
نیووے کی سرکاری زبان <mask> ہے۔	انگریزی	کروشیائی زبان, استونیائی زبان, ڈینش زبان, قیطلونی, آذربائیجانی, فرانسیسی, جرمن, چینی زبان, پرتگالی, انگریزی	نیووے
