Prompt	Ans	Candidate Ans	Subject
Is í <mask> teanga oifigiúil Montana.	An Béarla	An tSlóvaicis, An Asarbaiseáinis, An tSeicis, An Albáinis, An Bhulgáiris, An Rúisis, An tSeapáinis, An Ollainnis, An tSlóivéinis, An Béarla	Montana
Is í <mask> teanga oifigiúil Na Bahámaí.	An Béarla	An tSeirbis, An Bhascais, An Pheirsis, An Indinéisis, An Bhulgáiris, Seoirsis, An Spáinnis, An Ungáiris, An Úcráinis, An Béarla	Na Bahámaí
Is í <mask> teanga oifigiúil Ontario.	An Béarla	An Ghearmáinis, An Ungáiris, An Chóiréis, An tSeicis, An Urdais, An tSeirbis, An Iodáilis, An Rúisis, An Pholainnis, An Béarla	Ontario
Is í <mask> teanga oifigiúil Alberta.	An Béarla	An Ghréigis, An tSeicis, An Danmhairgis, An Laidin, An Úcráinis, An Ghearmáinis, An tSlóivéinis, An tSualainnis, An Chatalóinis, An Béarla	Alberta
Is í <mask> teanga oifigiúil Montainéagró.	An tSeirbis	An Eastóinis, An Laidin, An Iodáilis, An Urdais, An Chatalóinis, An Asarbaiseáinis, An Fhraincis, Seoirsis, An Spáinnis, An tSeirbis	Montainéagró
Is í <mask> teanga oifigiúil Ríocht eSuaitíní.	An Béarla	An Eabhrais, An Pheirsis, An Bhulgáiris, An Bhascais, An Albáinis, An tSualainnis, An Fhraincis, An Chóiréis, An tSlóvaicis, An Béarla	Ríocht eSuaitíní
Is í <mask> teanga oifigiúil An tAontas Eorpach.	An Ollainnis	An Ghréigis, An Liotuáinis, An Íoslainnis, An Laidin, An Úcráinis, An Pholainnis, An Chróitis, An Béarla, An Eastóinis, An Ollainnis	An tAontas Eorpach
Is í <mask> teanga oifigiúil Grenada.	An Béarla	An Ungáiris, An Liotuáinis, An tSeirbis, An Laidin, An Phortaingéilis, An Eabhrais, An Airméinis, An Bhulgáiris, An Ghréigis, An Béarla	Grenada
Is í <mask> teanga oifigiúil An tSeisnia.	An Rúisis	An Fhionlainnis, An Phortaingéilis, An tSlóvaicis, An Bhascais, An Ungáiris, An Laidin, An Asarbaiseáinis, An Téalainnis, An Rómáinis, An Rúisis	An tSeisnia
Is í <mask> teanga oifigiúil Ruanda.	An Béarla	An Indinéisis, An Pholainnis, An Phortaingéilis, An Urdais, An Téalainnis, An Eabhrais, An Ghréigis, An tSualainnis, An Fhraincis, An Béarla	Ruanda
Is í <mask> teanga oifigiúil An Fhionlainn.	An Fhionlainnis	An tSualainnis, An Eastóinis, An Chóiréis, An tSeapáinis, An Íoslainnis, An tSínis, An Eabhrais, An Asarbaiseáinis, An Danmhairgis, An Fhionlainnis	An Fhionlainn
Is í <mask> teanga oifigiúil Nebraska.	An Béarla	An tSeicis, An Bhulgáiris, An Liotuáinis, An Rúisis, An Fhionlainnis, An tSínis, An Chatalóinis, An Chóiréis, An Airméinis, An Béarla	Nebraska
Is í <mask> teanga oifigiúil An Pholainn.	An Pholainnis	An tSlóivéinis, An tSualainnis, An Téalainnis, An Chróitis, An tSeicis, An Béarla, An tSínis, An Airméinis, An Iodáilis, An Pholainnis	An Pholainn
Is í <mask> teanga oifigiúil Basel.	An Ghearmáinis	An Fhionlainnis, An Rómáinis, An tSeirbis, An Danmhairgis, An tSínis, An Urdais, An Eastóinis, An Pheirsis, An tSeapáinis, An Ghearmáinis	Basel
Is í <mask> teanga oifigiúil Arkansas.	An Béarla	An Iodáilis, An Bhascais, An Íoslainnis, An tSeicis, An tSínis, An Ungáiris, An tSlóvaicis, An tSeirbis, An Danmhairgis, An Béarla	Arkansas
Is í <mask> teanga oifigiúil An Rómáin.	An Rómáinis	An Rúisis, An Albáinis, An Ollainnis, An Laidin, An tSínis, An Béarla, An Urdais, An Úcráinis, An Danmhairgis, An Rómáinis	An Rómáin
Is í <mask> teanga oifigiúil An tAontas Eorpach.	An Ghréigis	An Íoslainnis, An Úcráinis, An Bhascais, An tSínis, An Phortaingéilis, An Fhionlainnis, An Danmhairgis, An Asarbaiseáinis, An tSualainnis, An Ghréigis	An tAontas Eorpach
Is í <mask> teanga oifigiúil An Chéinia.	An Béarla	An Liotuáinis, An Ghearmáinis, An Bhascais, An Indinéisis, An Eabhrais, An Chróitis, An Úcráinis, An Spáinnis, An Fhionlainnis, An Béarla	An Chéinia
Is í <mask> teanga oifigiúil Gána.	An Béarla	An Rómáinis, Seoirsis, An Iodáilis, An Eastóinis, An Danmhairgis, An Bhulgáiris, An tSeicis, An Indinéisis, An Ungáiris, An Béarla	Gána
Is í <mask> teanga oifigiúil An tSlóivéin.	An tSlóivéinis	An tSeirbis, An Airméinis, An Pheirsis, An Íoslainnis, An Tuircis, An Pholainnis, An Eastóinis, An Urdais, An Úcráinis, An tSlóivéinis	An tSlóivéin
Is í <mask> teanga oifigiúil An Mholdóiv.	An Rómáinis	An Bhascais, An Fhraincis, An tSualainnis, An Phortaingéilis, An Chóiréis, An Ghearmáinis, An tSeirbis, An tSeapáinis, An Danmhairgis, An Rómáinis	An Mholdóiv
Is í <mask> teanga oifigiúil Guáin na Fraince.	An Fhraincis	An Spáinnis, Seoirsis, An tSeirbis, An Indinéisis, An Urdais, An Iodáilis, An Íoslainnis, An Bhascais, An Ghréigis, An Fhraincis	Guáin na Fraince
Is í <mask> teanga oifigiúil An Liotuáin.	An Liotuáinis	An Rúisis, An tSlóivéinis, An Chatalóinis, An tSlóvaicis, An Rómáinis, An Phortaingéilis, An Bhascais, An Úcráinis, An Ghearmáinis, An Liotuáinis	An Liotuáin
Is í <mask> teanga oifigiúil An Bheilís.	An Béarla	An Ollainnis, An Tuircis, An Rómáinis, An Iodáilis, An Bhascais, An tSeirbis, An Chróitis, An Rúisis, An Bhulgáiris, An Béarla	An Bheilís
Is í <mask> teanga oifigiúil An Spáinn.	An Chatalóinis	An tSeicis, An Fhraincis, An Ollainnis, An Indinéisis, An Bhascais, An Úcráinis, An Rómáinis, An Iodáilis, An Ungáiris, An Chatalóinis	An Spáinn
Is í <mask> teanga oifigiúil Barbadós.	An Béarla	An Phortaingéilis, An Iodáilis, An tSeapáinis, Seoirsis, An Chatalóinis, An Bhascais, An tSlóivéinis, An Rómáinis, An Tuircis, An Béarla	Barbadós
Is í <mask> teanga oifigiúil An Cholóim.	An Spáinnis	Seoirsis, An Phortaingéilis, An Ollainnis, An Rómáinis, An Laidin, An Ungáiris, An Fhionlainnis, An Úcráinis, An Chróitis, An Spáinnis	An Cholóim
Is í <mask> teanga oifigiúil Brúiné.	An Béarla	An tSlóivéinis, An Ungáiris, An Tuircis, An tSínis, Seoirsis, An tSlóvaicis, An tSeicis, An Eastóinis, An Laidin, An Béarla	Brúiné
Is í <mask> teanga oifigiúil An Phacastáin.	An Urdais	An Ungáiris, An Pheirsis, An Ghearmáinis, An Fhraincis, An Phortaingéilis, An Chróitis, An tSlóivéinis, An tSeapáinis, An Téalainnis, An Urdais	An Phacastáin
Is í <mask> teanga oifigiúil An tSeineagáil.	An Fhraincis	An Rómáinis, An Bhulgáiris, An tSlóivéinis, An Tuircis, An Eastóinis, An Úcráinis, An Bhascais, An Phortaingéilis, An Spáinnis, An Fhraincis	An tSeineagáil
Is í <mask> teanga oifigiúil Nunavut.	An Béarla	Seoirsis, An tSínis, An tSeirbis, An Liotuáinis, An Iodáilis, An Chróitis, An Indinéisis, An Chatalóinis, An Chóiréis, An Béarla	Nunavut
Is í <mask> teanga oifigiúil An Ghinéiv.	An Fhraincis	An Chóiréis, An Asarbaiseáinis, An Tuircis, An tSeapáinis, An Ollainnis, An Úcráinis, An Eastóinis, An Phortaingéilis, An Chatalóinis, An Fhraincis	An Ghinéiv
Is í <mask> teanga oifigiúil An tAontas Eorpach.	An Bhulgáiris	An tSeirbis, Seoirsis, An Eastóinis, An Urdais, An Indinéisis, An Íoslainnis, An tSeapáinis, An Airméinis, An Fhionlainnis, An Bhulgáiris	An tAontas Eorpach
Is í <mask> teanga oifigiúil An Bhoisnia-Heirseagaivéin.	An tSeirbis	An Chóiréis, An Spáinnis, An Rómáinis, An tSualainnis, An Chatalóinis, An Bhascais, An Ungáiris, An Ghréigis, An Albáinis, An tSeirbis	An Bhoisnia-Heirseagaivéin
Is í <mask> teanga oifigiúil An Fhionlainn.	An tSualainnis	An Fhionlainnis, An Ollainnis, An Rúisis, An Albáinis, An Ghearmáinis, An Téalainnis, An Spáinnis, An Fhraincis, An Danmhairgis, An tSualainnis	An Fhionlainn
Is í <mask> teanga oifigiúil Nua-Ghuine Phapua.	An Béarla	An Phortaingéilis, An Urdais, An Pheirsis, An Indinéisis, An tSeicis, An Pholainnis, An Fhionlainnis, An Danmhairgis, An Eabhrais, An Béarla	Nua-Ghuine Phapua
Is í <mask> teanga oifigiúil Ruanda.	An Fhraincis	An Rómáinis, An Chóiréis, An Asarbaiseáinis, An Bhascais, An Laidin, An tSlóivéinis, An Urdais, An Rúisis, An Téalainnis, An Fhraincis	Ruanda
Is í <mask> teanga oifigiúil Sead.	An Fhraincis	An tSlóivéinis, An Fhionlainnis, An Ghearmáinis, An Bhascais, An Béarla, An tSlóvaicis, An Eastóinis, An Asarbaiseáinis, An Rúisis, An Fhraincis	Sead
Is í <mask> teanga oifigiúil Eireaván.	An Airméinis	An Eabhrais, An Béarla, An Danmhairgis, An Ollainnis, An Fhionlainnis, An Liotuáinis, An Albáinis, An Chóiréis, An tSeirbis, An Airméinis	Eireaván
Is í <mask> teanga oifigiúil An Bholaiv.	An Spáinnis	An Rúisis, An tSeirbis, An Chróitis, An Ghearmáinis, An tSlóivéinis, An Bhascais, An Airméinis, An Fhionlainnis, An Íoslainnis, An Spáinnis	An Bholaiv
Is í <mask> teanga oifigiúil An Mhalaeisia.	An Béarla	An Airméinis, An tSínis, An Ungáiris, Seoirsis, An Phortaingéilis, An Rómáinis, An Úcráinis, An Urdais, An tSualainnis, An Béarla	An Mhalaeisia
Is í <mask> teanga oifigiúil An tSúdáin Theas.	An Béarla	An Ungáiris, Seoirsis, An Ollainnis, An Rúisis, An Ghréigis, An Ghearmáinis, An Tuircis, An Indinéisis, An Chatalóinis, An Béarla	An tSúdáin Theas
Is í <mask> teanga oifigiúil An Ghuine Mheánchriosach.	An Fhraincis	An Eastóinis, An Fhionlainnis, An Liotuáinis, An Urdais, An Indinéisis, An Pheirsis, An Asarbaiseáinis, An Chóiréis, An tSlóvaicis, An Fhraincis	An Ghuine Mheánchriosach
Is í <mask> teanga oifigiúil An tAontas Eorpach.	An Ungáiris	An Eastóinis, An Airméinis, An Spáinnis, An tSlóivéinis, An Ghréigis, An Béarla, An Bhascais, An Chatalóinis, An Chróitis, An Ungáiris	An tAontas Eorpach
Is í <mask> teanga oifigiúil An Chirgeastáin.	An Rúisis	An Eastóinis, An Bhulgáiris, An tSeicis, An Ollainnis, An tSeirbis, An Chóiréis, An Liotuáinis, An Airméinis, An Úcráinis, An Rúisis	An Chirgeastáin
Is í <mask> teanga oifigiúil An tSeapáin.	An tSeapáinis	An Rómáinis, An Liotuáinis, An tSualainnis, An Fhionlainnis, An tSlóivéinis, An Laidin, An Fhraincis, An Indinéisis, Seoirsis, An tSeapáinis	An tSeapáin
Is í <mask> teanga oifigiúil An Iaráin.	An Pheirsis	An Tuircis, An Danmhairgis, An Chatalóinis, An Ollainnis, An Albáinis, An tSeapáinis, An tSínis, An Indinéisis, An Eabhrais, An Pheirsis	An Iaráin
Is í <mask> teanga oifigiúil Tampere.	An Fhionlainnis	An tSlóvaicis, An Bhulgáiris, An Ghearmáinis, An tSualainnis, An Airméinis, An tSlóivéinis, An Téalainnis, An Indinéisis, An Chróitis, An Fhionlainnis	Tampere
Is í <mask> teanga oifigiúil Panama.	An Spáinnis	An tSualainnis, An Bhascais, An Fhionlainnis, An Téalainnis, An Ungáiris, An tSlóivéinis, An Úcráinis, An Rúisis, Seoirsis, An Spáinnis	Panama
Is í <mask> teanga oifigiúil Québec.	An Fhraincis	An Chróitis, An Ungáiris, An Spáinnis, An Rúisis, An Pholainnis, An Úcráinis, An tSlóivéinis, An tSeicis, An Liotuáinis, An Fhraincis	Québec
Is í <mask> teanga oifigiúil Impireacht na Róimhe.	An Laidin	An Liotuáinis, An Bhulgáiris, An Chóiréis, An tSualainnis, An Asarbaiseáinis, An Úcráinis, An tSeicis, An Urdais, An Íoslainnis, An Laidin	Impireacht na Róimhe
Is í <mask> teanga oifigiúil An Ghuine Mheánchriosach.	An Spáinnis	An Bhascais, An Úcráinis, An Urdais, An Eabhrais, An Pheirsis, An Bhulgáiris, An tSlóivéinis, An Phortaingéilis, An Liotuáinis, An Spáinnis	An Ghuine Mheánchriosach
Is í <mask> teanga oifigiúil Talamh an Éisc agus Labradar.	An Béarla	An Liotuáinis, An Bhulgáiris, An Íoslainnis, An Chatalóinis, An Airméinis, An Spáinnis, An tSínis, An Ollainnis, An tSualainnis, An Béarla	Talamh an Éisc agus Labradar
Is í <mask> teanga oifigiúil An tAontas Eorpach.	An Eastóinis	An Liotuáinis, An Rómáinis, An Pheirsis, An Ghréigis, An Indinéisis, An Téalainnis, An Bhulgáiris, An Ghearmáinis, An tSeicis, An Eastóinis	An tAontas Eorpach
Is í <mask> teanga oifigiúil Náisiúin Aontaithe.	An Spáinnis	An Pholainnis, An tSeapáinis, An Eastóinis, An Ghearmáinis, An tSeirbis, An Ungáiris, An Chróitis, An Urdais, An Íoslainnis, An Spáinnis	Náisiúin Aontaithe
Is í <mask> teanga oifigiúil Poblacht Shácha.	An Rúisis	An Téalainnis, An tSeicis, An Béarla, An Fhraincis, An Ghréigis, An Phortaingéilis, An Airméinis, An Fhionlainnis, An Chatalóinis, An Rúisis	Poblacht Shácha
Is í <mask> teanga oifigiúil An tAontas Eorpach.	An Pholainnis	An tSínis, An Liotuáinis, An tSlóvaicis, An Pheirsis, An Rúisis, An tSeicis, An Eastóinis, An Asarbaiseáinis, An tSeapáinis, An Pholainnis	An tAontas Eorpach
Is í <mask> teanga oifigiúil An Phoblacht Dhoiminiceach.	An Spáinnis	An Chróitis, An tSínis, An Ollainnis, An Ghréigis, An Iodáilis, Seoirsis, An tSlóivéinis, An Ghearmáinis, An Albáinis, An Spáinnis	An Phoblacht Dhoiminiceach
Is í <mask> teanga oifigiúil An Cholóim Bhriotanach.	An Béarla	An Fhraincis, An Ollainnis, An Chóiréis, An Bhulgáiris, An Chatalóinis, An Chróitis, An Iodáilis, An Ghréigis, An Rúisis, An Béarla	An Cholóim Bhriotanach
Is í <mask> teanga oifigiúil An Bheilg.	An Ollainnis	An Bhascais, An Rómáinis, An Ghréigis, An Fhraincis, An Liotuáinis, An Pholainnis, An tSualainnis, An Albáinis, An Phortaingéilis, An Ollainnis	An Bheilg
Is í <mask> teanga oifigiúil Impireacht Bhiosántach.	An Laidin	An Spáinnis, An Eabhrais, An Rómáinis, An tSeapáinis, An Eastóinis, An Téalainnis, An Danmhairgis, An Tuircis, An Indinéisis, An Laidin	Impireacht Bhiosántach
Is í <mask> teanga oifigiúil Poblacht na hÉireann.	An Béarla	An tSeirbis, An Ghearmáinis, An Iodáilis, An Ungáiris, An Rúisis, An Asarbaiseáinis, Seoirsis, An Íoslainnis, An Spáinnis, An Béarla	Poblacht na hÉireann
Is í <mask> teanga oifigiúil An Ísiltír.	An Ollainnis	Seoirsis, An tSeicis, An Tuircis, An Eastóinis, An Úcráinis, An Ungáiris, An Bhascais, An Indinéisis, An Phortaingéilis, An Ollainnis	An Ísiltír
Is í <mask> teanga oifigiúil Kansas.	An Béarla	An Pholainnis, An tSlóvaicis, An Tuircis, An tSeirbis, An Chatalóinis, An Airméinis, An Eastóinis, An Úcráinis, An Téalainnis, An Béarla	Kansas
Is í <mask> teanga oifigiúil An Afraic Theas.	An Béarla	An Úcráinis, An Laidin, Seoirsis, An Téalainnis, An tSínis, An Ghearmáinis, An Rúisis, An Iodáilis, An Eastóinis, An Béarla	An Afraic Theas
Is í <mask> teanga oifigiúil Vanuatú.	An Béarla	An Laidin, An Ollainnis, An Indinéisis, An Chóiréis, An Bhulgáiris, Seoirsis, An Ghearmáinis, An Chatalóinis, An tSeirbis, An Béarla	Vanuatú
Is í <mask> teanga oifigiúil Montainéagró.	An Chróitis	An Chatalóinis, Seoirsis, An Úcráinis, An tSeicis, An Ungáiris, An Danmhairgis, An Ghearmáinis, An Spáinnis, An Ghréigis, An Chróitis	Montainéagró
Is í <mask> teanga oifigiúil Suranam.	An Ollainnis	An Ungáiris, An Phortaingéilis, An Indinéisis, An tSeirbis, An Chróitis, An Airméinis, An tSlóivéinis, An tSínis, An tSeicis, An Ollainnis	Suranam
Is í <mask> teanga oifigiúil Colorado.	An Béarla	An Chatalóinis, An Úcráinis, An Íoslainnis, An Asarbaiseáinis, An Phortaingéilis, An Ungáiris, An Chróitis, An Fhraincis, An tSeicis, An Béarla	Colorado
Is í <mask> teanga oifigiúil Tonga.	An Béarla	An tSlóvaicis, An Ungáiris, An Chatalóinis, Seoirsis, An Fhraincis, An Ghréigis, An Airméinis, An tSualainnis, An Phortaingéilis, An Béarla	Tonga
Is í <mask> teanga oifigiúil Sasana.	An Béarla	An tSlóivéinis, An Danmhairgis, An Eastóinis, An tSínis, An Albáinis, An tSualainnis, An Fhionlainnis, An tSeicis, An Bhulgáiris, An Béarla	Sasana
Is í <mask> teanga oifigiúil An Ghuine Mheánchriosach.	An Phortaingéilis	An Eastóinis, An Albáinis, Seoirsis, An tSlóivéinis, An Ungáiris, An Bhulgáiris, An tSlóvaicis, An Ghearmáinis, An tSeapáinis, An Phortaingéilis	An Ghuine Mheánchriosach
Is í <mask> teanga oifigiúil Guine-Bissau.	An Phortaingéilis	An tSlóvaicis, An Iodáilis, An Laidin, An Ollainnis, An Pholainnis, An Chróitis, An tSualainnis, An Indinéisis, An Eastóinis, An Phortaingéilis	Guine-Bissau
Is í <mask> teanga oifigiúil An Bhoisnia-Heirseagaivéin.	An Chróitis	An Rúisis, An Eastóinis, An tSeapáinis, An Fhraincis, An Urdais, An Phortaingéilis, An Pheirsis, An Rómáinis, An Chatalóinis, An Chróitis	An Bhoisnia-Heirseagaivéin
Is í <mask> teanga oifigiúil Indiana.	An Béarla	An Chróitis, An Ungáiris, An Pholainnis, An Spáinnis, An Albáinis, An tSínis, An Urdais, An Íoslainnis, An Téalainnis, An Béarla	Indiana
Is í <mask> teanga oifigiúil An Chóiré Thuaidh.	An Chóiréis	An Pheirsis, An Fhionlainnis, An Asarbaiseáinis, An tSlóvaicis, An Tuircis, An Indinéisis, An Bhascais, An Spáinnis, An Téalainnis, An Chóiréis	An Chóiré Thuaidh
Is í <mask> teanga oifigiúil An Rúis.	An Úcráinis	An Ungáiris, An Airméinis, An Indinéisis, An Bhulgáiris, Seoirsis, An Ollainnis, An Ghréigis, An Rómáinis, An Laidin, An Úcráinis	An Rúis
Is í <mask> teanga oifigiúil An Airgintín.	An Spáinnis	An tSlóvaicis, An Indinéisis, An tSínis, An Pheirsis, An Albáinis, An tSualainnis, An Íoslainnis, An Ungáiris, An Úcráinis, An Spáinnis	An Airgintín
Is í <mask> teanga oifigiúil Albain Nua.	An Béarla	An Téalainnis, An Chróitis, An Iodáilis, An Asarbaiseáinis, An Eabhrais, An tSlóvaicis, An tSeicis, An Rúisis, An Ghearmáinis, An Béarla	Albain Nua
Is í <mask> teanga oifigiúil Haváí.	An Béarla	An Úcráinis, An Tuircis, An Bhulgáiris, An Íoslainnis, An Indinéisis, An tSlóvaicis, An Spáinnis, An Danmhairgis, An tSlóivéinis, An Béarla	Haváí
Is í <mask> teanga oifigiúil Palau.	An Béarla	An Danmhairgis, An Pholainnis, An tSualainnis, An tSlóvaicis, An Asarbaiseáinis, An Airméinis, An Tuircis, An Iodáilis, An Téalainnis, An Béarla	Palau
Is í <mask> teanga oifigiúil Niue.	An Béarla	An Chróitis, An Eastóinis, An Danmhairgis, An Chatalóinis, An Asarbaiseáinis, An Fhraincis, An Ghearmáinis, An tSínis, An Phortaingéilis, An Béarla	Niue
Is í <mask> teanga oifigiúil An Cósta Eabhair.	An Fhraincis	An Chóiréis, An Iodáilis, An Íoslainnis, An Danmhairgis, An tSeapáinis, An tSualainnis, Seoirsis, An Pholainnis, An Bhulgáiris, An Fhraincis	An Cósta Eabhair
